epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
75,34.8165,0.13486,0.99122,1,0.02044,0.000205631,0.000205631,0.000205631
76,35.3111,0.14709,0.99185,1,0.02102,0.000198018,0.000198018,0.000198018
77,35.7838,0.1394,0.99185,1,0.01878,0.000190404,0.000190404,0.000190404
78,36.2047,0.13811,0.99122,1,0.01866,0.000182791,0.000182791,0.000182791
79,36.6229,0.13668,0.9906,1,0.02114,0.000175178,0.000175178,0.000175178
80,37.0267,0.1272,0.99122,1,0.022,0.000167565,0.000167565,0.000167565
81,37.5117,0.13911,0.9906,1,0.02457,0.000159952,0.000159952,0.000159952
82,37.9637,0.12712,0.99185,1,0.01709,0.000152339,0.000152339,0.000152339
83,38.4356,0.13929,0.99122,1,0.02796,0.000144726,0.000144726,0.000144726
84,38.908,0.12703,0.99248,1,0.0202,0.000137113,0.000137113,0.000137113
85,39.358,0.11654,0.99436,1,0.01643,0.0001295,0.0001295,0.0001295
86,39.825,0.12434,0.99248,1,0.03209,0.000121887,0.000121887,0.000121887
87,40.3014,0.11991,0.9931,1,0.03479,0.000114273,0.000114273,0.000114273
88,40.7747,0.1278,0.99373,1,0.01735,0.00010666,0.00010666,0.00010666
89,41.2867,0.12788,0.99248,1,0.02596,9.90472e-05,9.90472e-05,9.90472e-05
90,41.7276,0.12252,0.99436,1,0.0165,9.14341e-05,9.14341e-05,9.14341e-05
91,42.6466,0.11568,0.99248,1,0.01639,8.3821e-05,8.3821e-05,8.3821e-05
92,43.103,0.12599,0.99436,1,0.02159,7.62079e-05,7.62079e-05,7.62079e-05
93,43.6042,0.12301,0.99248,1,0.01563,6.85948e-05,6.85948e-05,6.85948e-05
94,44.1099,0.11994,0.99248,1,0.01539,6.09817e-05,6.09817e-05,6.09817e-05
95,44.5552,0.12137,0.9931,1,0.01514,5.33686e-05,5.33686e-05,5.33686e-05
96,44.9802,0.12091,0.99373,1,0.01473,4.57555e-05,4.57555e-05,4.57555e-05
97,45.4007,0.12394,0.99561,1,0.02793,3.81424e-05,3.81424e-05,3.81424e-05
98,45.8735,0.11794,0.99373,1,0.0141,3.05293e-05,3.05293e-05,3.05293e-05
99,46.341,0.1261,0.99373,1,0.01434,2.29162e-05,2.29162e-05,2.29162e-05
100,46.8165,0.13409,0.99373,1,0.01439,1.53031e-05,1.53031e-05,1.53031e-05
